"","la_name","age","la_total"
"646","Derby","Age 13",23
"647","Derby","Age 14",21
"648","Derby","Age 15",31
"649","Derby","Age 16",23
"650","Derby","Age 17",41
"651","Derby","Age 18",20
"652","Derby","Age 19 plus",0
"653","Derby","Age 2",0
"654","Derby","Age 3",0
"655","Derby","Age 4",0
"656","Derby","Age 5",0
"657","Derby","Age 6",5
"658","Derby","Age 7",3
"659","Derby","Age 8",6
"660","Derby","Age 9",4
"661","Derbyshire","Age 0",0
"662","Derbyshire","Age 1",0
"663","Derbyshire","Age 10",26
"664","Derbyshire","Age 11",41
"665","Derbyshire","Age 12",71
"666","Derbyshire","Age 13",54
"667","Derbyshire","Age 14",79
"668","Derbyshire","Age 15",95
"669","Derbyshire","Age 16",86
"670","Derbyshire","Age 17",50
"671","Derbyshire","Age 18",52
"672","Derbyshire","Age 19 plus",117
"673","Derbyshire","Age 2",0
"674","Derbyshire","Age 3",0
"675","Derbyshire","Age 4",1
"676","Derbyshire","Age 5",1
"677","Derbyshire","Age 6",6
"678","Derbyshire","Age 7",15
"679","Derbyshire","Age 8",11
"680","Derbyshire","Age 9",27
"681","Devon","Age 0",0
"682","Devon","Age 1",0
"683","Devon","Age 10",50
"684","Devon","Age 11",142
"685","Devon","Age 12",157
"686","Devon","Age 13",195
"687","Devon","Age 14",234
"688","Devon","Age 15",258
"689","Devon","Age 16",137
"690","Devon","Age 17",108
"691","Devon","Age 18",68
"692","Devon","Age 19 plus",0
"693","Devon","Age 2",2
"694","Devon","Age 3",2
"695","Devon","Age 4",5
"696","Devon","Age 5",8
"697","Devon","Age 6",15
"698","Devon","Age 7",26
"699","Devon","Age 8",40
"700","Devon","Age 9",46
"701","Doncaster","Age 0",0
"702","Doncaster","Age 1",0
"703","Doncaster","Age 10",6
"704","Doncaster","Age 11",19
"705","Doncaster","Age 12",24
"706","Doncaster","Age 13",28
"707","Doncaster","Age 14",48
"708","Doncaster","Age 15",51
"709","Doncaster","Age 16",56
"710","Doncaster","Age 17",47
"711","Doncaster","Age 18",29
"712","Doncaster","Age 19 plus",0
"713","Doncaster","Age 2",0
"714","Doncaster","Age 3",0
"715","Doncaster","Age 4",0
"716","Doncaster","Age 5",0
"717","Doncaster","Age 6",2
"718","Doncaster","Age 7",2
"719","Doncaster","Age 8",3
"720","Doncaster","Age 9",6
"721","Dorset","Age 0",0
"722","Dorset","Age 1",0
"723","Dorset","Age 10",36
"724","Dorset","Age 11",56
"725","Dorset","Age 12",76
"726","Dorset","Age 13",70
"727","Dorset","Age 14",92
"728","Dorset","Age 15",118
"729","Dorset","Age 16",70
"730","Dorset","Age 17",60
"731","Dorset","Age 18",43
"732","Dorset","Age 19 plus",0
"733","Dorset","Age 2",0
"734","Dorset","Age 3",0
"735","Dorset","Age 4",4
"736","Dorset","Age 5",6
"737","Dorset","Age 6",12
"738","Dorset","Age 7",15
"739","Dorset","Age 8",26
"740","Dorset","Age 9",27
"741","Dudley","Age 0",0
"742","Dudley","Age 1",0
"743","Dudley","Age 10",18
"744","Dudley","Age 11",33
"745","Dudley","Age 12",52
"746","Dudley","Age 13",52
"747","Dudley","Age 14",65
"748","Dudley","Age 15",92
"749","Dudley","Age 16",42
"750","Dudley","Age 17",35
"751","Dudley","Age 18",19
"752","Dudley","Age 19 plus",0
"753","Dudley","Age 2",0
"754","Dudley","Age 3",1
"755","Dudley","Age 4",0
"756","Dudley","Age 5",4
"757","Dudley","Age 6",5
"758","Dudley","Age 7",1
"759","Dudley","Age 8",13
"760","Dudley","Age 9",14
"761","Ealing","Age 0",0
"762","Ealing","Age 1",0
"763","Ealing","Age 10",17
"764","Ealing","Age 11",23
"765","Ealing","Age 12",20
"766","Ealing","Age 13",37
"767","Ealing","Age 14",32
"768","Ealing","Age 15",75
"769","Ealing","Age 16",31
"770","Ealing","Age 17",20
"771","Ealing","Age 18",13
"772","Ealing","Age 19 plus",0
"773","Ealing","Age 2",0
"774","Ealing","Age 3",0
"775","Ealing","Age 4",2
"776","Ealing","Age 5",8
"777","Ealing","Age 6",9
"778","Ealing","Age 7",15
"779","Ealing","Age 8",17
"780","Ealing","Age 9",18
"781","East Riding of Yorkshire","Age 0",0
"782","East Riding of Yorkshire","Age 1",0
"783","East Riding of Yorkshire","Age 10",9
"784","East Riding of Yorkshire","Age 11",13
"785","East Riding of Yorkshire","Age 12",36
"786","East Riding of Yorkshire","Age 13",52
"787","East Riding of Yorkshire","Age 14",60
"788","East Riding of Yorkshire","Age 15",69
"789","East Riding of Yorkshire","Age 16",21
"790","East Riding of Yorkshire","Age 17",24
